pH,EC,OC,OM,N,P,K,Zn,Fe,Cu,Mn,Sand,Silt,Clay,CaCO3,CEC,Output
7.74,0.4,0.01,0.01,75,20,279,0.48,6.4,0.21,4.7,84.3,6.8,8.9,6.72,7.81,Fertile
9.02,0.31,0.02,0.03,85,15.7,247,0.27,6.4,0.16,5.6,90.4,3.9,5.7,4.61,7.19,Fertile
7.8,0.17,0.02,0.03,77,35.6,265,0.46,6.2,0.51,6.1,84.5,6.9,8.6,1.53,12.32,Fertile
8.36,0.02,0.03,0.05,106,6.4,127,0.5,3.1,0.28,2.3,93.9,1.7,4.4,0,1.6,Non Fertile
8.36,1.08,0.03,0.05,96,10.5,96,0.31,3.2,0.23,4.1,91.5,4.1,4.4,9.08,7.21,Non Fertile
8.36,0.73,0.03,0.05,151,10.5,230,0.38,2.5,0.37,4.2,94.2,1.5,4.3,6.23,3.34,Non Fertile
7.69,0.11,0.04,0.06,112,8,120,0.51,3.1,0.32,1.2,96.2,1.7,2.1,0,1.72,Non Fertile
8.39,0.06,0.04,0.06,125,18.5,145,0.67,2.8,0.18,1.8,87.9,4.8,7.3,0,7.34,Non Fertile
7.87,0.43,0.04,0.06,112,27,333,0.75,3.9,0.54,1.8,80.5,5.7,13.8,3.21,11.02,Fertile
8.09,0.62,0.04,0.06,89,28.2,146,0.53,3.8,0.71,3.9,80.2,9.5,10.3,8.51,8.94,Fertile
8.26,0.11,0.04,0.06,114,12,276,0.89,6.1,0.45,4.8,91.2,4,4.8,0,2.8,Non Fertile
7.9,0.91,0.04,0.06,80,29,162,0.7,5.9,0.32,5.2,80.7,5.6,13.7,9.73,6.93,Fertile
8.12,0.14,0.04,0.06,78,8.4,190,0.62,1,0.07,5.5,89.5,3.5,7,6.1,4.89,Fertile
8.64,0.18,0.05,0.08,88,13.7,164,0.5,6.1,0.48,4.5,90.3,2.9,6.8,2.34,4.59,Fertile
8.38,0.1,0.06,0.1,125,7.1,198,0.48,4.2,0.15,0.8,88.8,4.9,6.3,4.8,2.4,Non Fertile
8.37,0.12,0.06,0.1,120,3.2,288,0.41,3.3,0.35,3.1,86.9,7.1,6,0,5.6,Non Fertile
8.52,0.1,0.06,0.1,128,7.9,260,0.52,4,0.22,4.2,91.1,4.1,4.8,15.12,2.6,Non Fertile
8.67,0.23,0.07,0.12,134,10.4,410,0.34,2.5,0.11,0.4,88.6,4.2,7.2,0,2.82,Non Fertile
8.4,0.13,0.07,0.12,130,12.9,249,0.47,3.2,0.17,2.8,88.3,4.6,7.1,14.98,3.2,Non Fertile
7.53,0.15,0.07,0.12,136,12,192,0.34,2.8,0.35,3.5,94.5,2.3,3.2,0,4.91,Non Fertile
8.37,0.48,0.07,0.12,137,3.7,340,0.37,3.6,0.32,4.1,89.8,4.1,6.1,0,1.23,Non Fertile
7.87,0.11,0.07,0.12,109,26.8,149,0.04,1.8,0.01,5.3,79.8,10.7,9.5,3.31,5.37,Fertile
8.65,0.48,0.07,0.12,112,10,155,0.12,6.1,0.5,5.3,83.5,7.8,8.7,1.28,6.67,Fertile
7.8,0.53,0.07,0.12,105,7,264,0.46,6.1,0.46,6.7,88.4,3.7,7.9,7.3,3.74,Fertile
8.23,1.2,0.08,0.13,134,2.5,170,0.76,6.2,0.37,0.2,84.7,9.1,6.2,16.19,2.14,Non Fertile
8.47,0.21,0.08,0.13,142,11,112,0.34,3,0.41,0.6,87.5,6.7,5.8,7.8,1.76,Non Fertile
8.36,0.31,0.08,0.13,135,7.8,375,0.64,6.1,0.14,0.8,89.7,4.3,6,0,3.25,Non Fertile
8.06,0.2,0.08,0.13,140,16,342,0.56,5.2,0.24,1.2,89.9,4.7,5.4,6.86,5.42,Non Fertile
8.31,0.07,0.08,0.13,124,2.9,70,0.56,3.4,0.15,1.8,96,1.5,2.5,0.2,1.9,Non Fertile
8.45,0.07,0.08,0.13,135,9.8,173,0.32,3,0.21,2.2,91.8,3.1,5.1,5.12,1.7,Non Fertile
6.52,0.15,0.08,0.13,92,33.1,122,0.62,4.8,0.26,3.6,85.1,5.9,9,1.06,12.3,Fertile
8.57,0.15,0.08,0.13,95,16.7,182,0.37,3.9,0.06,5.2,88.5,3.6,7.9,5.45,4.48,Fertile
7.78,0.18,0.08,0.13,118,20.4,131,0.13,7.3,0.71,6.1,84.3,7.2,8.5,2.24,5.23,Fertile
8.4,0.17,0.09,0.15,106,10.2,179,0.43,1.2,0.19,4.2,89,1.4,9.5,2.1,3.27,Fertile
8.32,0.06,0.1,0.17,145,10.4,185,0.44,3.7,0.24,1.3,90.7,3.6,5.7,5.3,1.9,Non Fertile
7.49,0.33,0.1,0.17,120,12,184,1.21,4.4,0.61,2.1,85.7,6.2,8.1,3.45,10.38,Fertile
8.04,0.18,0.1,0.17,144,20,360,0.76,3.8,0.17,2.8,95.6,1.6,2.8,0.81,1.96,Non Fertile
8.2,0.11,0.1,0.17,149,27.5,320,1.3,3.8,0.18,4.9,83.7,7.3,9,3.6,6.03,Fertile
8.03,0.2,0.11,0.18,148,18.5,222,0.28,5.2,0.37,2.5,85.2,7.5,7.3,0,1.4,Non Fertile
8.23,0.17,0.11,0.18,151,5,126,0.62,4.6,0.21,2.6,95.8,1.9,2.3,0,1.83,Non Fertile
8.4,0.17,0.11,0.18,155,6.2,148,0.74,4.7,0.29,2.7,95.5,1.8,2.7,6.21,3.66,Non Fertile
7.42,0.7,0.11,0.18,153,15,136,0.86,2.8,0.14,3.5,93.2,3.7,3.1,12.08,5.4,Non Fertile
9.27,1.58,0.11,0.18,140,10.5,318,0.22,8.3,0.08,6.2,82.4,7.6,10,1.09,3.45,Fertile
8.23,0.21,0.12,0.2,146,20.9,256,0.54,3.6,0.23,0.3,85.1,7.8,7.1,0,7,Non Fertile
8.66,0.28,0.12,0.2,164,8,180,0.59,3.2,0.42,3.7,90.3,4.1,5.6,0,5.74,Non Fertile
8.27,0.64,0.13,0.22,160,8.4,174,0.87,5.4,0.21,1.5,87.8,5.5,6.7,0,3.2,Non Fertile
